r_(Angstroms),rho/rho_uniforme
0.000000,0.000000
0.009978,0.000000
0.019955,0.000000
0.029933,0.000000
0.039911,0.000000
0.049888,0.000000
0.059866,0.000000
0.069843,0.000000
0.079821,0.000000
0.089799,0.000000
0.099776,0.000000
0.109754,0.000000
0.119732,0.000000
0.129709,0.000000
0.139687,0.000000
0.149664,0.000000
0.159642,0.000000
0.169620,0.000000
0.179597,0.000000
0.189575,0.000000
0.199553,0.000000
0.209530,0.000000
0.219508,0.000000
0.229485,0.000000
0.239463,0.000000
0.249441,0.000000
0.259418,0.000000
0.269396,0.000000
0.279374,0.000000
0.289351,0.000000
0.299329,0.000000
0.309306,0.000000
0.319284,0.000000
0.329262,0.000000
0.339239,0.000000
0.349217,0.000000
0.359195,0.000000
0.369172,0.000000
0.379150,0.000000
0.389128,0.000000
0.399105,0.000000
0.409083,0.000000
0.419060,0.000000
0.429038,0.000000
0.439016,0.000000
0.448993,0.000000
0.458971,0.000000
0.468949,0.000000
0.478926,0.000000
0.488904,0.000000
0.498881,0.000000
0.508859,0.000000
0.518837,0.000000
0.528814,0.000000
0.538792,0.000000
0.548770,0.000000
0.558747,0.000000
0.568725,0.000000
0.578702,0.000000
0.588680,0.000000
0.598658,0.000000
0.608635,0.000000
0.618613,0.000000
0.628591,0.000000
0.638568,0.000000
0.648546,0.000000
0.658523,0.000000
0.668501,0.000000
0.678479,0.000000
0.688456,0.000000
0.698434,0.000000
0.708412,0.000000
0.718389,0.000000
0.728367,0.000000
0.738345,0.000000
0.748322,0.000000
0.758300,0.000000
0.768277,0.000000
0.778255,0.000000
0.788233,0.000000
0.798210,0.000000
0.808188,0.000000
0.818166,0.000000
0.828143,0.000000
0.838121,0.000000
0.848098,0.000000
0.858076,0.000000
0.868054,0.000000
0.878031,0.000000
0.888009,0.000000
0.897987,0.000000
0.907964,0.000000
0.917942,0.000000
0.927919,0.000000
0.937897,0.000000
0.947875,0.000000
0.957852,0.000000
0.967830,0.000000
0.977808,0.000000
0.987785,0.000000
0.997763,0.000000
1.007740,0.000000
1.017718,0.000000
1.027696,0.000000
1.037673,0.000000
1.047651,0.000000
1.057629,0.000000
1.067606,0.000000
1.077584,0.000000
1.087562,0.000000
1.097539,0.000000
1.107517,0.000000
1.117494,0.000000
1.127472,0.000000
1.137450,0.000000
1.147427,0.000000
1.157405,0.000000
1.167383,0.000000
1.177360,0.000000
1.187338,0.000000
1.197315,0.000000
1.207293,0.000000
1.217271,0.000000
1.227248,0.000000
1.237226,0.000000
1.247204,0.000000
1.257181,0.000000
1.267159,0.000000
1.277136,0.000000
1.287114,0.000000
1.297092,0.000000
1.307069,0.000000
1.317047,0.000000
1.327025,0.000000
1.337002,0.000000
1.346980,0.000000
1.356957,0.000000
1.366935,0.000000
1.376913,0.000000
1.386890,0.000000
1.396868,0.000000
1.406846,0.000000
1.416823,0.000000
1.426801,0.000000
1.436779,0.000000
1.446756,0.000000
1.456734,0.000000
1.466711,0.000000
1.476689,0.000000
1.486667,0.000000
1.496644,0.000000
1.506622,0.000000
1.516600,0.000000
1.526577,0.000000
1.536555,0.000000
1.546532,0.000000
1.556510,0.000000
1.566488,0.000000
1.576465,0.000000
1.586443,0.000000
1.596421,0.000000
1.606398,0.000000
1.616376,0.000000
1.626353,0.000000
1.636331,0.000000
1.646309,0.000000
1.656286,0.000000
1.666264,0.000000
1.676242,0.000000
1.686219,0.000000
1.696197,0.000000
1.706174,0.000000
1.716152,0.000000
1.726130,0.000000
1.736107,0.000000
1.746085,0.000000
1.756063,0.000000
1.766040,0.000000
1.776018,0.000000
1.785996,0.000000
1.795973,0.000000
1.805951,0.000000
1.815928,0.000000
1.825906,0.000000
1.835884,0.000000
1.845861,0.000000
1.855839,0.000000
1.865817,0.000000
1.875794,0.000000
1.885772,0.000000
1.895749,0.000000
1.905727,0.000000
1.915705,0.000000
1.925682,0.000000
1.935660,0.000000
1.945638,0.000000
1.955615,0.000000
1.965593,0.000000
1.975570,0.000000
1.985548,0.000000
1.995526,0.000000
2.005503,0.000000
2.015481,0.000000
2.025459,0.000000
2.035436,0.000000
2.045414,0.000000
2.055391,0.000000
2.065369,0.000000
2.075347,0.000000
2.085324,0.000000
2.095302,0.000000
2.105280,0.000000
2.115257,0.000000
2.125235,0.000000
2.135213,0.000000
2.145190,0.000000
2.155168,0.000000
2.165145,0.000000
2.175123,0.000000
2.185101,0.000000
2.195078,0.000000
2.205056,0.000000
2.215034,0.000000
2.225011,0.000000
2.234989,0.000000
2.244966,0.000000
2.254944,0.000000
2.264922,0.000000
2.274899,0.000000
2.284877,0.000000
2.294855,0.000000
2.304832,0.000000
2.314810,0.000000
2.324787,0.000000
2.334765,0.000000
2.344743,0.000000
2.354720,0.000000
2.364698,0.000000
2.374676,0.000000
2.384653,0.000000
2.394631,0.000000
2.404609,0.000000
2.414586,0.000000
2.424564,0.000000
2.434541,0.000000
2.444519,0.000000
2.454497,0.000000
2.464474,0.000000
2.474452,0.000000
2.484430,0.000000
2.494407,0.000000
2.504385,0.000000
2.514362,0.000000
2.524340,0.000000
2.534318,0.000000
2.544295,0.000000
2.554273,0.000000
2.564251,0.000000
2.574228,0.000000
2.584206,0.000000
2.594183,0.000000
2.604161,0.000000
2.614139,0.000000
2.624116,0.000000
2.634094,0.000000
2.644072,0.000000
2.654049,0.000000
2.664027,0.000000
2.674004,0.000000
2.683982,0.000000
2.693960,0.000000
2.703937,0.000000
2.713915,0.000000
2.723893,0.000000
2.733870,0.000000
2.743848,0.000000
2.753826,0.000000
2.763803,0.000000
2.773781,0.000000
2.783758,0.000000
2.793736,0.000000
2.803714,0.000000
2.813691,0.000000
2.823669,0.000000
2.833647,0.000000
2.843624,0.000000
2.853602,0.000000
2.863579,0.000000
2.873557,0.000000
2.883535,0.000000
2.893512,0.000000
2.903490,0.000000
2.913468,0.000000
2.923445,0.000000
2.933423,0.000000
2.943400,0.000000
2.953378,0.000000
2.963356,0.000000
2.973333,0.000000
2.983311,0.000000
2.993289,0.000000
3.003266,0.000000
3.013244,0.000000
3.023221,0.000000
3.033199,0.000000
3.043177,0.000000
3.053154,0.000000
3.063132,0.000000
3.073110,0.000000
3.083087,0.000000
3.093065,0.000000
3.103043,0.000000
3.113020,0.000000
3.122998,0.000000
3.132975,0.000000
3.142953,0.000000
3.152931,0.000000
3.162908,0.000000
3.172886,0.000000
3.182864,0.303257
3.192841,0.000000
3.202819,0.000000
3.212796,0.000000
3.222774,0.000000
3.232752,0.199056
3.242729,0.496111
3.252707,0.593510
3.262685,0.493082
3.272662,0.000000
3.282640,0.294053
3.292617,0.488606
3.302595,0.194853
3.312573,0.291400
3.322550,0.581053
3.332528,0.482763
3.342506,0.866384
3.352483,0.767830
3.362461,1.052638
3.372438,1.335764
3.382416,0.856176
3.392394,0.758810
3.402371,1.891470
3.412349,0.848676
3.422327,2.068503
3.432304,1.218749
3.442282,2.243486
3.452260,1.304923
3.462237,2.137633
3.472215,2.316847
3.482192,1.940583
3.492170,2.119337
3.502148,2.388956
3.512125,2.198935
3.522103,2.923619
3.532081,2.733161
3.542058,2.362076
3.552036,2.536639
3.562013,3.252271
3.571991,2.432399
3.581969,1.976442
3.591946,3.673151
3.601924,3.394967
3.611902,2.405559
3.621879,3.465137
3.631857,3.101207
3.641834,2.474178
3.651812,3.172406
3.661790,3.603186
3.671767,3.067544
3.681745,4.457752
3.691723,3.748353
3.701700,3.825199
3.711678,3.901633
3.721655,2.680596
3.731633,2.932158
3.741611,4.300513
3.751588,3.774400
3.761566,3.764401
3.771544,2.815842
3.781521,3.914770
3.791499,3.734722
3.801477,3.301644
3.811454,3.884066
3.821432,4.463450
